file,expected_status,status,reasons,total_samples,mean_dt_ms,std_dt_ms,min_dt_ms,max_dt_ms,effective_fs,fs_error_ratio,jitter_ratio,num_non_increasing_ts,num_bad_dt,num_large_gaps,estimated_missing_samples,num_nan_rows
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_000.csv,PASS,PASS,ok,6000,5.000361634896391,0.049117794156614186,4.775952506799513,5.1695035009033745,199.98553565030707,7.232174846464545e-05,0.009822848374372011,0,0,0,0,0
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_001.csv,PASS,PASS,ok,6000,5.000016444741691,0.05004461225661538,4.81362284597526,5.203250309903524,199.99934221249578,3.2889375211198056e-06,0.01000888953260248,0,0,0,0,0
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_002.csv,PASS,PASS,ok,6000,5.000034492171888,0.04966023502485569,4.8063247929858335,5.197494821650253,199.99862032264213,6.89838678937349e-06,0.009931978489869287,0,0,0,0,0
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_003.csv,PASS,PASS,ok,6000,4.9997118164869185,0.05039145937982871,4.826377308367,5.173185736592131,200.01152800495944,5.7640024797223076e-05,0.010078872788959387,0,0,0,0,0
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_004.csv,PASS,PASS,ok,6000,4.99927277517304,0.05088500144432139,4.810454259284597,5.202556974556501,200.02909322454144,0.00014546612270720515,0.010178480697637089,0,0,0,0,0
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_005.csv,PASS,PASS,ok,6000,5.00065649711896,0.05005852777833198,4.83998275491831,5.202936922803929,199.97374356269668,0.00013128218651658585,0.010010391197070288,0,0,0,0,0
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_006.csv,PASS,PASS,ok,6000,5.000947269861889,0.049850220600570434,4.801841524360498,5.197970857003838,199.9621163827262,0.00018941808636895984,0.009968155613435841,0,0,0,0,0
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_007.csv,PASS,PASS,ok,6000,4.999917028600817,0.05035510396155326,4.82819336956527,5.192515577393351,200.00331891104227,1.6594555211355556e-05,0.010071187916421224,0,0,0,0,0
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_008.csv,PASS,PASS,ok,6000,5.000795841939277,0.04999764802982792,4.810840997532068,5.190164247209395,199.9681713885377,0.0001591430573114394,0.009997938250252414,0,0,0,0,0
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_009.csv,PASS,PASS,ok,6000,4.998887900929245,0.0491625645096055,4.811249090016645,5.155589892518037,200.0444938591461,0.00022246929573043416,0.009834700334141652,0,0,0,0,0
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_010.csv,PASS,PASS,ok,6000,4.9993053583362475,0.04937722502719966,4.812278581159262,5.206711204805288,200.0277895273028,0.00013894763651393306,0.009876817175182963,0,0,0,0,0
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_011.csv,PASS,PASS,ok,6000,4.998825965570887,0.04966937413581839,4.798574404554529,5.17482502132043,200.04697240660903,0.00023486203304514674,0.0099362079172016,0,0,0,0,0
