frequency_hz,magnitude,label
0.0,0.01364965924758297,obstruction
0.78125,0.031448450347548965,obstruction
1.5625,0.03490661489186651,obstruction
2.34375,0.011791802701957822,obstruction
3.125,0.004410328782937264,obstruction
3.90625,0.008651228619951651,obstruction
4.6875,0.008104734735381133,obstruction
5.46875,0.026103841082352305,obstruction
6.25,0.03563010575028324,obstruction
7.03125,0.027419182822187676,obstruction
7.8125,0.010774190484701124,obstruction
8.59375,0.014040746180413202,obstruction
9.375,0.017279821402636262,obstruction
10.15625,0.022509557696476935,obstruction
10.9375,0.021973613059227386,obstruction
11.71875,0.014359896885891952,obstruction
12.5,0.01947058971500127,obstruction
13.28125,0.018587787323435388,obstruction
14.0625,0.0037543889485632622,obstruction
14.84375,0.003872912079099694,obstruction
15.625,0.011495709912362265,obstruction
16.40625,0.03405748862257231,obstruction
17.1875,0.038990072263465514,obstruction
17.96875,0.021501073997359812,obstruction
18.75,0.00984385477188704,obstruction
19.53125,0.012736699632064601,obstruction
20.3125,0.01970347514149107,obstruction
21.09375,0.026795698293077447,obstruction
21.875,0.005696977345520545,obstruction
22.65625,0.024684646439013042,obstruction
23.4375,0.023370443559177966,obstruction
24.21875,0.033624255280405003,obstruction
25.0,0.03285736982005492,obstruction
25.78125,0.011175201645743304,obstruction
26.5625,0.012434569880044712,obstruction
27.34375,0.026438823110757112,obstruction
28.125,0.03187833324497345,obstruction
28.90625,0.13493179943087785,obstruction
29.6875,0.362752419985862,obstruction
30.46875,0.22757238979940364,obstruction
31.25,0.022651315121050113,obstruction
32.03125,0.033379521216796236,obstruction
32.8125,0.0364139421596118,obstruction
33.59375,0.04088289659227552,obstruction
34.375,0.018841098111512942,obstruction
35.15625,0.01951511630297363,obstruction
35.9375,0.018342079796747072,obstruction
36.71875,0.011046403008516843,obstruction
37.5,0.011153375096045708,obstruction
38.28125,0.026767948708548647,obstruction
39.0625,0.021297660506587414,obstruction
39.84375,0.00860337270805006,obstruction
40.625,0.008169640467261138,obstruction
41.40625,0.009776119055837319,obstruction
42.1875,0.019049377897631985,obstruction
42.96875,0.03231572449293699,obstruction
43.75,0.017805423639501664,obstruction
44.53125,0.020277621684621456,obstruction
45.3125,0.0350816948380177,obstruction
46.09375,0.03366583393322157,obstruction
46.875,0.017240385017229437,obstruction
47.65625,0.01511791004152738,obstruction
48.4375,0.03221433263277251,obstruction
49.21875,0.019530039715373038,obstruction
50.0,0.011046510970158562,obstruction
50.78125,0.009158025347211479,obstruction
51.5625,0.02863528277804378,obstruction
52.34375,0.03386337447966156,obstruction
53.125,0.021877134989307455,obstruction
53.90625,0.006359616439050701,obstruction
54.6875,0.015002458906017778,obstruction
55.46875,0.01430856253115196,obstruction
56.25,0.01035223624404124,obstruction
57.03125,0.031734356570536845,obstruction
57.8125,0.027568922322943328,obstruction
58.59375,0.026889200027691584,obstruction
59.375,0.04255398910903435,obstruction
60.15625,0.03348661274109426,obstruction
60.9375,0.016481144110261404,obstruction
61.71875,0.032887955458879764,obstruction
62.5,0.017784101884533988,obstruction
63.28125,0.010161026945291462,obstruction
64.0625,0.01883966177518723,obstruction
64.84375,0.03810717760744251,obstruction
65.625,0.04024120522709258,obstruction
66.40625,0.025589568348981146,obstruction
67.1875,0.0333138370459021,obstruction
67.96875,0.021860750469828733,obstruction
68.75,0.012362661964937747,obstruction
69.53125,0.013640583147370653,obstruction
70.3125,0.012239173961941463,obstruction
71.09375,0.016547037034257188,obstruction
71.875,0.026909931522602692,obstruction
72.65625,0.023370888517530268,obstruction
73.4375,0.022381478207250567,obstruction
74.21875,0.024501586226710212,obstruction
75.0,0.026650450907003485,obstruction
75.78125,0.03141334295426219,obstruction
76.5625,0.007040445149515165,obstruction
77.34375,0.008615062714340467,obstruction
78.125,0.006559810539278656,obstruction
78.90625,0.011101318674470555,obstruction
79.6875,0.009556585810406363,obstruction
80.46875,0.02407368446180408,obstruction
81.25,0.026300304432760633,obstruction
82.03125,0.009014198867248654,obstruction
82.8125,0.018847262842403602,obstruction
83.59375,0.008863173624194191,obstruction
84.375,0.013855142713190449,obstruction
85.15625,0.01481233010930516,obstruction
85.9375,0.005185670484693951,obstruction
86.71875,0.010631850010896622,obstruction
87.5,0.012615359371598935,obstruction
88.28125,0.019151943700189262,obstruction
89.0625,0.01331109741468088,obstruction
89.84375,0.0229101085829387,obstruction
90.625,0.02658487560078667,obstruction
91.40625,0.005853271419928009,obstruction
92.1875,0.01826928725295733,obstruction
92.96875,0.017164264686286238,obstruction
93.75,0.02168899135073208,obstruction
94.53125,0.02039198292702474,obstruction
95.3125,0.019615106898007297,obstruction
96.09375,0.011132779750560278,obstruction
96.875,0.024841050643350602,obstruction
97.65625,0.05189780476055121,obstruction
98.4375,0.04781984739325884,obstruction
99.21875,0.020746319568263005,obstruction
100.0,0.010722105225209243,obstruction
