source_file,dominant_frequency,max_magnitude,mean_magnitude,std_magnitude,total_energy,spectral_centroid,spectral_bandwidth,low_band_energy,mid_band_energy,high_band_energy,label
fft_windows\healthy\healthy_000_segment_000_window_000_fft.csv,52.34375,0.0160529911007448,0.0030449313709096635,0.001971797075268081,0.0016975872079865372,50.41719156909309,28.80456778005291,0.00026490934666813313,0.0009384714887784499,0.0004942063725399544,healthy
fft_windows\healthy\healthy_000_segment_000_window_001_fft.csv,51.5625,0.0107645553777948,0.0030577798057933275,0.0018327907491019744,0.0016394789659217516,48.41663308253974,29.360240475960637,0.00037488913595795013,0.0007009250973096362,0.0005636647326541652,healthy
fft_windows\healthy\healthy_000_segment_000_window_002_fft.csv,52.34375,0.0120745104980556,0.0027796920390960483,0.001753763323729208,0.0013935061979954448,50.724290899697024,27.27259942257769,0.00017830509258161213,0.0008339140604055032,0.0003812870450083292,healthy
fft_windows\healthy\healthy_000_segment_000_window_003_fft.csv,52.34375,0.0077106735619958,0.0026074255548199994,0.0013244774991217458,0.0011033252183794548,48.41692607041135,28.825014774853997,0.00023841965246422238,0.0004837672841948664,0.00038113828172036584,healthy
fft_windows\healthy\healthy_000_segment_000_window_004_fft.csv,51.5625,0.0124310111036352,0.0029097128087593126,0.0017963454697291145,0.0015084338522135875,50.61714465749234,27.47903807224785,0.00018615306837888843,0.0008186308388561694,0.0005036499449785296,healthy
fft_windows\healthy\healthy_000_segment_000_window_005_fft.csv,52.34375,0.0117268032919148,0.003020682604903827,0.0017083345758992234,0.0015535380245387943,50.75212699342211,27.39373344986613,0.0002083626264170181,0.0007988575141198265,0.0005463178840019496,healthy
fft_windows\healthy\healthy_000_segment_000_window_006_fft.csv,51.5625,0.0111814271935448,0.0029363500435161984,0.0017291733040819698,0.0014979727542753468,51.66465454315914,27.634626492108158,0.00019286600472867213,0.0007718223116446408,0.0005332844379020336,healthy
fft_windows\healthy\healthy_000_segment_000_window_007_fft.csv,52.34375,0.0098799413385443,0.0024513563297005212,0.0016313887685765979,0.0011185044548526874,52.44126660699443,28.26778644005748,0.00018432175780225884,0.0005246936420711079,0.00040948905497932076,healthy
fft_windows\healthy\healthy_000_segment_000_window_008_fft.csv,52.34375,0.0090716953943009,0.002645057949287932,0.0016027710200055471,0.0012339116381982563,49.25934066460446,28.226731197244064,0.0002910898304803254,0.0004974263936550214,0.0004453954140629095,healthy
fft_windows\healthy\healthy_000_segment_000_window_009_fft.csv,51.5625,0.0128876246704865,0.0029042647299309505,0.0018477375061678556,0.001528506489205419,50.068911157912694,28.974785050090496,0.0002738971157817229,0.000738480489606311,0.0005161288838173851,healthy
fft_windows\healthy\healthy_000_segment_000_window_010_fft.csv,52.34375,0.0128110906512772,0.002904418702782109,0.0017817048451180242,0.0014977055001481943,52.54615738115376,28.27092868427324,0.00025623854634100753,0.0006767134339000027,0.0005647535199071839,healthy
fft_windows\healthy\healthy_000_segment_000_window_011_fft.csv,51.5625,0.0144506218739201,0.0031008476843334574,0.0020379726409299184,0.001776147961213339,51.2682635885028,29.16449376138885,0.0003003863187409001,0.0008603959994381293,0.0006153656430343096,healthy
fft_windows\healthy\healthy_000_segment_000_window_012_fft.csv,52.34375,0.011406852931431,0.0028034588059421195,0.0017047939450598219,0.0013887757736527888,47.3338494634088,28.079528574698315,0.0003146351763883042,0.0007045369719086162,0.0003696036253558686,healthy
