source_file,label,segment_id,start_time_ms,end_time_ms,num_samples,duration_sec,status,reason
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_000.csv,healthy,0,0.081780898207549,29997.251228641657,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_001.csv,healthy,0,0.0586115545895541,29995.15726356,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_002.csv,healthy,0,0.0107858203130505,29995.217704359467,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_003.csv,healthy,0,-0.1048613113168694,29993.166325793707,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_004.csv,healthy,0,-0.0278205237480477,29990.609557739317,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_005.csv,healthy,0,-0.0833036455641772,29998.85502257108,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_006.csv,healthy,0,0.0102216055979113,30000.692893507072,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_007.csv,healthy,0,0.0858483098845807,29994.588102886184,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_008.csv,healthy,0,0.022857068125031,29999.797112861845,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_009.csv,healthy,0,0.0108786916000928,29988.339396366144,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_010.csv,healthy,0,-0.0766284849231058,29990.756216174228,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_011.csv,healthy,0,0.0007361556131267,29987.957703615368,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_012.csv,healthy,0,-0.0707526340350081,29999.808193481625,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_013.csv,healthy,0,-0.018661675042827,29997.46973577609,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_014.csv,healthy,0,0.0651115868712457,29991.029629505378,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_015.csv,healthy,0,-0.0462718243137407,29993.62495930598,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_016.csv,healthy,0,0.0463978280977573,30001.20241662433,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_017.csv,healthy,0,0.0107797669131854,30000.425293359265,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_018.csv,healthy,0,0.0228670384700854,30001.539315716396,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\healthy\healthy_019.csv,healthy,0,-0.0480127741418543,29991.65773283265,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\imbalance\imbalance_000.csv,imbalance,0,0.0234135099124689,29995.62205698601,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\imbalance\imbalance_001.csv,imbalance,0,0.0105193463943226,29993.51278769648,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\imbalance\imbalance_002.csv,imbalance,0,0.0280374182513131,30001.92063559612,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\imbalance\imbalance_003.csv,imbalance,0,-0.039651717084451,29988.315746505912,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\imbalance\imbalance_004.csv,imbalance,0,-0.0406490698644309,29996.612848982742,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\imbalance\imbalance_005.csv,imbalance,0,-0.0236874924042536,29985.470048423853,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\imbalance\imbalance_006.csv,imbalance,0,0.0113067448101706,29990.853902654217,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\imbalance\imbalance_007.csv,imbalance,0,-0.0604038968856395,30002.097339981265,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\imbalance\imbalance_008.csv,imbalance,0,-0.0545241470315214,29996.221042538327,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\imbalance\imbalance_009.csv,imbalance,0,0.0553816573134829,29993.84322087819,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\imbalance\imbalance_010.csv,imbalance,0,0.0189241119001285,29997.13726728384,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\imbalance\imbalance_011.csv,imbalance,0,0.0359537853307097,30007.310278163644,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\imbalance\imbalance_012.csv,imbalance,0,0.0518845889951978,29994.11648256218,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\imbalance\imbalance_013.csv,imbalance,0,0.0632807885872001,29994.434963988835,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\imbalance\imbalance_014.csv,imbalance,0,0.0210738192431431,29997.14219297212,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\imbalance\imbalance_015.csv,imbalance,0,0.0227497825237453,29995.37918629573,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\imbalance\imbalance_016.csv,imbalance,0,0.1163591407781285,29992.470679475595,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\imbalance\imbalance_017.csv,imbalance,0,-0.0286489114827175,29996.87824684414,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\imbalance\imbalance_018.csv,imbalance,0,0.0425064239431146,29995.256235009358,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\imbalance\imbalance_019.csv,imbalance,0,-0.0445649112364909,29991.94446321361,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\obstruction\obstruction_000.csv,obstruction,0,-0.0220323949549526,29992.20126623797,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\obstruction\obstruction_001.csv,obstruction,0,0.0060134981729816,29998.932757617175,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\obstruction\obstruction_002.csv,obstruction,0,-0.0340247822506653,29993.65914260824,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\obstruction\obstruction_003.csv,obstruction,0,0.0934932787625767,29998.815676198174,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\obstruction\obstruction_004.csv,obstruction,0,0.0323843546164517,29989.94994786824,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\obstruction\obstruction_005.csv,obstruction,0,0.1062157987432434,29998.006550395312,6000,30.0,KEPT,valid
d:\IoT\IoT project\mock_raw_sensor_stream\obstruction\obstruction_006.csv,obstruction,0,0.0191498855545385,29992.637258324445,6000,30.0,KEPT,valid
